season,week,game_time,date_stamp,desc,down,drive,first_down,home,note,passing_att,passing_cmp,passing_cmp_air_yds,passing_first_down,passing_tds,passing_yds,players,playid,receiving_rec,receiving_tar,receiving_tds,receiving_yac_yds,receiving_yds,team,time,touchdown,yardline,yards_togo
2017,1,4:25,9/10/2017,(13:22) (Shotgun) A.Rodgers pass short right to J.Nelson to GB 32 for 10 yards (B.Wagner).,1,1,1,True,,1,1,10,1,0,10,"[B.Wagner, A.Rodgers, J.Nelson]",197,1,1,0,0,10,GB,Q1 13:22,False,OWN 22,10
2017,1,4:25,9/10/2017,(12:41) (Shotgun) A.Rodgers pass short left to R.Cobb to GB 32 for no gain (E.Thomas).,1,1,0,True,,1,1,-1,0,0,0,"[A.Rodgers, R.Cobb, E.Thomas]",221,1,1,0,1,0,GB,Q1 12:41,False,OWN 32,10
2017,1,4:25,9/10/2017,"(12:00) A.Rodgers pass short right to R.Cobb pushed ob at GB 46 for 14 yards (J.Lane). PENALTY on GB-R.Cobb, Taunting, 15 yards, enforced between downs.",2,1,1,True,PENALTY,1,1,1,1,0,14,"[A.Rodgers, R.Cobb, J.Lane]",245,1,1,0,13,14,GB,Q1 12:00,False,OWN 32,10
2017,1,4:25,9/10/2017,"(12:00) PENALTY on GB-A.Rodgers, Delay of Game, 5 yards, enforced at GB 31 - No Play.",1,1,0,True,PENALTY,0,0,0,0,0,0,[A.Rodgers],280,0,0,0,0,0,GB,Q1 12:00,False,OWN 31,10
2017,1,4:25,9/10/2017,(11:07) (Shotgun) A.Rodgers pass incomplete short middle to M.Bennett (B.Wagner).,1,1,0,True,,1,0,0,0,0,0,"[B.Wagner, M.Bennett, A.Rodgers]",303,0,1,0,0,0,GB,Q1 11:07,False,OWN 26,15
2017,1,4:25,9/10/2017,(11:02) A.Rodgers pass short left to J.Nelson pushed ob at GB 39 for 13 yards (S.Griffin).,2,1,0,True,,1,1,11,0,0,13,"[A.Rodgers, S.Griffin, J.Nelson]",325,1,1,0,2,13,GB,Q1 11:02,False,OWN 26,15
2017,1,4:25,9/10/2017,(10:26) (Shotgun) A.Rodgers pass short middle to R.Cobb to SEA 32 for 29 yards (E.Thomas).,3,1,1,True,,1,1,5,1,0,29,"[A.Rodgers, R.Cobb, E.Thomas]",349,1,1,0,24,29,GB,Q1 10:26,False,OWN 39,2
2017,1,4:25,9/10/2017,"(9:37) (Shotgun) A.Rodgers pass short middle intended for L.Kendricks INTERCEPTED by N.Jones at SEA 36. N.Jones for 64 yards, TOUCHDOWN NULLIFIED by Penalty. Penalty on SEA-J.Lane, Disqualification, declined. PENALTY on SEA-C.Avril, Illegal Block Above the Waist, 10 yards, enforced at GB 40. SEA 20 was ejected due to penalty",1,1,0,True,INT,1,0,0,0,0,0,"[C.Avril, N.Jones, A.Rodgers, L.Kendricks]",373,0,1,0,0,0,GB,Q1 09:37,True,OPP 32,10
2017,1,4:25,9/10/2017,(6:34) (Shotgun) A.Rodgers scrambles right end to GB 13 for 5 yards (S.Richardson).,3,3,1,True,,0,0,0,0,0,0,"[A.Rodgers, S.Richardson]",558,0,0,0,0,0,GB,Q1 06:34,False,OWN 8,4
2017,1,4:25,9/10/2017,(4:25) (Shotgun) A.Rodgers pass short left to R.Cobb to GB 28 for 10 yards (R.Sherman).,3,3,1,True,,1,1,9,1,0,10,"[R.Sherman, A.Rodgers, R.Cobb]",622,1,1,0,1,10,GB,Q1 04:25,False,OWN 18,5
2017,1,4:25,9/10/2017,(3:51) A.Rodgers pass short middle to L.Kendricks to GB 37 for 9 yards (K.Wright).,1,3,0,True,,1,1,5,0,0,9,"[K.Wright, A.Rodgers, L.Kendricks]",646,1,1,0,4,9,GB,Q1 03:51,False,OWN 28,10
2017,1,4:25,9/10/2017,(2:26) A.Rodgers pass incomplete deep left to D.Adams.,1,3,0,True,,1,0,0,0,0,0,"[A.Rodgers, D.Adams]",691,0,1,0,0,0,GB,Q1 02:26,False,OWN 40,10
2017,1,4:25,9/10/2017,(2:20) A.Rodgers pass incomplete deep left to D.Adams.,2,3,0,True,,1,0,0,0,0,0,"[A.Rodgers, D.Adams]",713,0,1,0,0,0,GB,Q1 02:20,False,OWN 40,10
2017,1,4:25,9/10/2017,(2:15) (Shotgun) A.Rodgers sacked at GB 34 for -6 yards (C.Avril).,3,3,0,True,,0,0,0,0,0,0,"[C.Avril, A.Rodgers]",735,0,0,0,0,0,GB,Q1 02:15,False,OWN 40,10
