season,week,game_time,date_stamp,desc,down,drive,first_down,home,note,passing_att,passing_cmp,passing_cmp_air_yds,passing_first_down,passing_tds,passing_yds,players,playid,receiving_rec,receiving_tar,receiving_tds,receiving_yac_yds,receiving_yds,team,time,touchdown,yardline,yards_togo
2013,1,4:25,9/8/2013,(14:27) (Shotgun) A.Rodgers sacked at GB 13 for -8 yards (A.Smith).,2,0,0,False,,0,0,0,0,0,0,"[A.Smith, A.Rodgers]",75,0,0,0,0,0,GB,Q1 14:27,False,OWN 21,9
2013,1,4:25,9/8/2013,(13:59) (Shotgun) A.Rodgers pass short right to J.Finley to GB 22 for 9 yards (P.Willis). Caught at GB15.  7-yds YAC,3,0,0,False,,1,1,2,0,0,9,"[P.Willis, J.Finley, A.Rodgers]",94,1,1,0,7,9,GB,Q1 13:59,False,OWN 13,17
2013,1,4:25,9/8/2013,(12:02) (Shotgun) A.Rodgers pass short left to J.Finley ran ob at GB 24 for 9 yards. Caught at GB 15.  9-yds YAC,2,2,0,False,,1,1,0,0,0,9,"[J.Finley, A.Rodgers]",280,1,1,0,9,9,GB,Q1 12:02,False,OWN 15,13
2013,1,4:25,9/8/2013,(11:40) (Shotgun) A.Rodgers pass deep middle to R.Cobb to GB 42 for 18 yards (D.Whitner). Caught at GB 41.  1-yd YAC,3,2,1,False,,1,1,17,1,0,18,"[D.Whitner, A.Rodgers, R.Cobb]",304,1,1,0,1,18,GB,Q1 11:40,False,OWN 24,4
2013,1,4:25,9/8/2013,(10:03) (Shotgun) A.Rodgers pass incomplete short right to E.Lacy.,3,2,0,False,,1,0,0,0,0,0,"[A.Rodgers, E.Lacy]",378,0,1,0,0,0,GB,Q1 10:03,False,OWN 45,7
2013,1,4:25,9/8/2013,(2:52) (Shotgun) A.Rodgers pass short right to R.Cobb to GB 33 for 13 yards (D.Whitner). Caught at GB 27.  6-yds YAC,1,4,1,False,,1,1,7,1,0,13,"[D.Whitner, A.Rodgers, R.Cobb]",763,1,1,0,6,13,GB,Q1 02:52,False,OWN 20,10
2013,1,4:25,9/8/2013,(2:17) (Shotgun) A.Rodgers pass deep right to J.Nelson to SF 36 for 31 yards (E.Reid). Caught at SF 38.  2-yds YAC,1,4,1,False,,1,1,29,1,0,31,"[J.Nelson, A.Rodgers, E.Reid]",787,1,1,0,2,31,GB,Q1 02:17,False,OWN 33,10
2013,1,4:25,9/8/2013,(1:57) (No Huddle) A.Rodgers pass incomplete deep right to J.Nelson.,1,4,0,False,,1,0,0,0,0,0,"[A.Rodgers, J.Nelson]",815,0,1,0,0,0,GB,Q1 01:57,False,OPP 36,10
2013,1,4:25,9/8/2013,(1:53) (Shotgun) A.Rodgers pass short left to E.Lacy to SF 5 for 31 yards (D.Whitner). Caught at SF 38.  33-yds YAC,2,4,1,False,,1,1,-2,1,0,31,"[D.Whitner, A.Rodgers, E.Lacy]",841,1,1,0,33,31,GB,Q1 01:53,False,OPP 36,10
2013,1,4:25,9/8/2013,(1:18) (Shotgun) A.Rodgers pass incomplete short right to R.Cobb.,1,4,0,False,,1,0,0,0,0,0,"[A.Rodgers, R.Cobb]",865,0,1,0,0,0,GB,Q1 01:18,False,OPP 5,5
2013,1,4:25,9/8/2013,"(1:11) (Shotgun) A.Rodgers pass short right to R.Cobb for 5 yards, TOUCHDOWN. Caught at SF 3.  3-yds YAC",2,4,1,False,TD,1,1,2,1,1,5,"[A.Rodgers, R.Cobb]",891,1,1,1,3,5,GB,Q1 01:11,True,OPP 5,5
2013,1,4:25,9/8/2013,(8:50) A.Rodgers pass incomplete short right to J.Nelson.,1,8,0,False,,1,0,0,0,0,0,"[A.Rodgers, J.Nelson]",1443,0,1,0,0,0,GB,Q2 08:50,False,OWN 4,10
2013,1,4:25,9/8/2013,(8:46) (Shotgun) A.Rodgers pass short right to J.Starks ran ob at GB 12 for 8 yards. Caught at GB 4. 8-yds YAC,2,8,0,False,,1,1,0,0,0,8,"[A.Rodgers, J.Starks]",1465,1,1,0,8,8,GB,Q2 08:46,False,OWN 4,10
2013,1,4:25,9/8/2013,(8:14) (Shotgun) A.Rodgers pass incomplete short right to J.Jones (N.Asomugha).,3,8,0,False,,1,0,0,0,0,0,"[N.Asomugha, A.Rodgers, J.Jones]",1489,0,1,0,0,0,GB,Q2 08:14,False,OWN 12,2
2013,1,4:25,9/8/2013,"(6:13) (No Huddle, Shotgun) A.Rodgers pass short left to J.Nelson to GB 24 for 8 yards (T.Brown). Caught at GB 22.  2-yds YAC",2,10,1,False,,1,1,6,1,0,8,"[T.Brown, A.Rodgers, J.Nelson]",1679,1,1,0,2,8,GB,Q2 06:13,False,OWN 16,7
2013,1,4:25,9/8/2013,(5:26) (Shotgun) A.Rodgers pass short left to J.Nelson to SF 49 for 22 yards (D.Whitner). Caught at GB 31  22-yds YAC,1,10,1,False,,1,1,2,1,0,22,"[D.Whitner, A.Rodgers, J.Nelson]",1730,1,1,0,20,22,GB,Q2 05:26,False,OWN 29,5
2013,1,4:25,9/8/2013,(4:33) (Shotgun) A.Rodgers pass short middle intended for J.Finley INTERCEPTED by E.Reid at SF 44. E.Reid to SF 44 for no gain (J.Finley).,1,10,0,False,INT,1,0,0,0,0,0,"[J.Finley, A.Rodgers, E.Reid]",1790,0,1,0,0,0,GB,Q2 04:33,False,OWN 41,20
2013,1,4:25,9/8/2013,"(1:32) (Shotgun) A.Rodgers pass short left to J.Finley to SF 49 for 13 yards (D.Whitner). PENALTY on SF-A.Brooks, Roughing the Passer, 15 yards, enforced at SF 49. Caught at GB 37.  14-yd YAC",1,12,2,False,PENALTY,1,1,-1,1,0,13,"[D.Whitner, J.Finley, A.Rodgers, A.Brooks]",1995,1,1,0,14,13,GB,Q2 01:32,False,OWN 38,10
2013,1,4:25,9/8/2013,(1:24) (Shotgun) A.Rodgers pass incomplete deep right to J.Jones [A.Smith].,1,12,0,False,,1,0,0,0,0,0,"[A.Smith, A.Rodgers, J.Jones]",2030,0,1,0,0,0,GB,Q2 01:24,False,OPP 34,10
2013,1,4:25,9/8/2013,(1:14) (Shotgun) A.Rodgers pass incomplete short right to R.Cobb.,2,12,0,False,,1,0,0,0,0,0,"[A.Rodgers, R.Cobb]",2084,0,1,0,0,0,GB,Q2 01:14,False,OPP 44,20
2013,1,4:25,9/8/2013,(:58) (Shotgun) A.Rodgers pass short right to J.Nelson pushed ob at SF 24 for 15 yards (D.Whitner). Caught at SF 33.  9-yds YAC,3,12,1,False,,1,1,6,1,0,15,"[D.Whitner, A.Rodgers, J.Nelson]",2156,1,1,0,9,15,GB,Q2 00:58,False,OPP 39,15
2013,1,4:25,9/8/2013,(:52) (Shotgun) A.Rodgers pass short right to J.Nelson to SF 15 for 9 yards (E.Reid). Caught at SF  15.  0-yds YAC,1,12,0,False,,1,1,9,0,0,9,"[J.Nelson, A.Rodgers, E.Reid]",2180,1,1,0,0,9,GB,Q2 00:52,False,OPP 24,10
2013,1,4:25,9/8/2013,(:44) (Shotgun) A.Rodgers pass incomplete short left to R.Cobb.,2,12,0,False,,1,0,0,0,0,0,"[A.Rodgers, R.Cobb]",2222,0,1,0,0,0,GB,Q2 00:44,False,OPP 15,1
2013,1,4:25,9/8/2013,"(:21) A.Rodgers pass short right to J.Finley for 12 yards, TOUCHDOWN. Caught at SF 11.  11-yds YAC",1,12,1,False,TD,1,1,1,1,1,12,"[J.Finley, A.Rodgers]",2270,1,1,1,11,12,GB,Q2 00:21,True,OPP 12,10
2013,1,4:25,9/8/2013,(8:24) (Shotgun) A.Rodgers pass short right to R.Cobb to GB 27 for 3 yards (E.Reid). Caught at GB 24.  3-yds YAC,3,15,0,False,,1,1,0,0,0,3,"[A.Rodgers, R.Cobb, E.Reid]",2786,1,1,0,3,3,GB,Q3 08:24,False,OWN 24,8
2013,1,4:25,9/8/2013,"(5:27) (Shotgun) A.Rodgers scrambles left end pushed ob at GB 46 for 6 yards (N.Bowman). PENALTY on SF-N.Bowman, Unsportsmanlike Conduct, 15 yards, enforced at GB 46.",3,17,2,False,PENALTY,0,0,0,0,0,0,"[A.Rodgers, N.Bowman]",2999,0,0,0,0,0,GB,Q3 05:27,False,OWN 40,1
2013,1,4:25,9/8/2013,(5:06) (Shotgun) A.Rodgers pass short right to R.Cobb to SF 26 for 13 yards (E.Reid). Caught at SF 28.  2-yds YAC,1,17,1,False,,1,1,11,1,0,13,"[A.Rodgers, R.Cobb, E.Reid]",3031,1,1,0,2,13,GB,Q3 05:06,False,OPP 39,10
2013,1,4:25,9/8/2013,(4:33) (Shotgun) A.Rodgers pass incomplete deep left to J.Finley (D.Whitner).,1,17,0,False,,1,0,0,0,0,0,"[D.Whitner, J.Finley, A.Rodgers]",3055,0,1,0,0,0,GB,Q3 04:33,False,OPP 26,10
2013,1,4:25,9/8/2013,(4:24) A.Rodgers pass short middle to R.Cobb to SF 8 for 18 yards (E.Reid). Caught at SF 11.  3-yds YAC,2,17,1,False,,1,1,15,1,0,18,"[A.Rodgers, R.Cobb, E.Reid]",3081,1,1,0,3,18,GB,Q3 04:24,False,OPP 26,10
2013,1,4:25,9/8/2013,"(3:52) (No Huddle) A.Rodgers pass short right to J.Nelson for 8 yards, TOUCHDOWN. Caught at SF 0.  0-yds YAC",1,17,1,False,TD,1,1,8,1,1,8,"[A.Rodgers, J.Nelson]",3105,1,1,1,0,8,GB,Q3 03:52,True,OPP 8,8
2013,1,4:25,9/8/2013,(13:44) A.Rodgers sacked at GB 20 for -3 yards (sack split by R.McDonald and A.Smith).,2,19,0,False,,0,0,0,0,0,0,"[R.McDonald, A.Smith, A.Rodgers]",3510,0,0,0,0,0,GB,Q4 13:44,False,OWN 23,7
2013,1,4:25,9/8/2013,(13:11) (Shotgun) A.Rodgers pass incomplete short middle to J.Finley (N.Bowman).,3,19,0,False,,1,0,0,0,0,0,"[J.Finley, A.Rodgers, N.Bowman]",3529,0,1,0,0,0,GB,Q4 13:11,False,OWN 20,10
2013,1,4:25,9/8/2013,"(9:58) (No Huddle, Shotgun) A.Rodgers pass short right to J.Finley to 50 for 13 yards (N.Bowman). Caught at GB 36.  14-yds YAC",1,21,1,False,,1,1,-1,1,0,13,"[J.Finley, A.Rodgers, N.Bowman]",3748,1,1,0,14,13,GB,Q4 09:58,False,OWN 37,10
2013,1,4:25,9/8/2013,"(9:37) (No Huddle, Shotgun) A.Rodgers pass deep left to J.Nelson ran ob at SF 13 for 37 yards. Caught at SF 13.  0-yds YAC",1,21,1,False,,1,1,37,1,0,37,"[A.Rodgers, J.Nelson]",3772,1,1,0,0,37,GB,Q4 09:37,False,MIDFIELD,10
2013,1,4:25,9/8/2013,(8:34) A.Rodgers pass incomplete short right to R.Cobb.,1,21,0,False,,1,0,0,0,0,0,"[A.Rodgers, R.Cobb]",3846,0,1,0,0,0,GB,Q4 08:34,False,OPP 2,2
2013,1,4:25,9/8/2013,(5:44) (Shotgun) A.Rodgers pass incomplete short right to R.Cobb (A.Brooks).,1,23,0,False,,1,0,0,0,0,0,"[A.Rodgers, A.Brooks, R.Cobb]",4097,0,1,0,0,0,GB,Q4 05:44,False,OWN 9,10
2013,1,4:25,9/8/2013,(5:41) (Shotgun) A.Rodgers scrambles up the middle to GB 16 for 7 yards (E.Reid).,2,23,0,False,,0,0,0,0,0,0,"[A.Rodgers, E.Reid]",4119,0,0,0,0,0,GB,Q4 05:41,False,OWN 9,10
2013,1,4:25,9/8/2013,(5:08) (Shotgun) A.Rodgers pass incomplete deep left to J.Nelson (N.Asomugha).,3,23,0,False,,1,0,0,0,0,0,"[N.Asomugha, A.Rodgers, J.Nelson]",4140,0,1,0,0,0,GB,Q4 05:08,False,OWN 16,3
2013,1,4:25,9/8/2013,(:26) (Shotgun) A.Rodgers pass deep right to R.Cobb to SF 42 for 38 yards (D.Whitner). Caught at GB 49.  9-yds YAC,1,25,1,False,,1,1,29,1,0,38,"[D.Whitner, A.Rodgers, R.Cobb]",4557,1,1,0,9,38,GB,Q4 00:26,False,OWN 20,10
2013,1,4:25,9/8/2013,(:03) A.Rodgers spiked the ball to stop the clock.,1,25,0,False,,1,0,0,0,0,0,[A.Rodgers],4581,0,0,0,0,0,GB,Q4 00:03,False,OPP 42,10
2013,1,4:25,9/8/2013,(:03) (Shotgun) A.Rodgers pass incomplete short middle to J.Kuhn [A.Smith].,2,25,0,False,,1,0,0,0,0,0,"[A.Smith, A.Rodgers, J.Kuhn]",4607,0,1,0,0,0,GB,Q4 00:03,False,OPP 42,10
2013,2,1:00,9/15/2013,(15:00) A.Rodgers pass incomplete short middle to J.Nelson.,1,0,0,True,,1,0,0,0,0,0,"[A.Rodgers, J.Nelson]",54,0,1,0,0,0,GB,Q1 15:00,False,OWN 20,10
2013,2,1:00,9/15/2013,(14:54) (Shotgun) A.Rodgers pass short left to R.Cobb pushed ob at GB 24 for 4 yards (J.Wilson).,2,0,0,True,,1,1,-4,0,0,4,"[A.Rodgers, R.Cobb, J.Wilson]",76,1,1,0,8,4,GB,Q1 14:54,False,OWN 20,10
2013,2,1:00,9/15/2013,(14:12) A.Rodgers pass deep right to R.Cobb to WAS 50 for 21 yards (J.Wilson).,3,0,1,True,,1,1,17,1,0,21,"[A.Rodgers, R.Cobb, J.Wilson]",123,1,1,0,4,21,GB,Q1 14:12,False,OWN 29,1
2013,2,1:00,9/15/2013,"(13:39) (No Huddle, Shotgun) A.Rodgers pass short left to J.Jones to WAS 47 for 3 yards (B.Orakpo).",1,0,0,True,,1,1,-2,0,0,3,"[B.Orakpo, A.Rodgers, J.Jones]",147,1,1,0,5,3,GB,Q1 13:39,False,MIDFIELD,10
2013,2,1:00,9/15/2013,(12:43) A.Rodgers pass short right to J.Jones pushed ob at WAS 28 for 9 yards (J.Wilson).,1,0,0,True,,1,1,-2,0,0,9,"[A.Rodgers, J.Wilson, J.Jones]",195,1,1,0,11,9,GB,Q1 12:43,False,OPP 37,10
2013,2,1:00,9/15/2013,(11:29) (Shotgun) A.Rodgers pass short left to R.Cobb ran ob at WAS 18 for 17 yards (B.Meriweather).,1,0,0,True,,1,1,1,0,0,17,"[A.Rodgers, R.Cobb, B.Meriweather]",273,1,1,0,16,17,GB,Q1 11:29,False,OPP 35,20
2013,2,1:00,9/15/2013,(10:23) (Shotgun) A.Rodgers pass short left to J.Jones pushed ob at WAS 9 for 8 yards (B.Rambo).,3,0,1,True,,1,1,6,1,0,8,"[A.Rodgers, B.Rambo, J.Jones]",318,1,1,0,2,8,GB,Q1 10:23,False,OPP 17,2
2013,2,1:00,9/15/2013,(9:54) (Shotgun) A.Rodgers sacked at WAS 18 for -9 yards (R.Kerrigan).,1,0,0,True,,0,0,0,0,0,0,"[A.Rodgers, R.Kerrigan]",342,0,0,0,0,0,GB,Q1 09:54,False,OPP 9,9
2013,2,1:00,9/15/2013,(9:15) (Shotgun) A.Rodgers sacked at WAS 24 for -6 yards (R.Kerrigan).,2,0,0,True,,0,0,0,0,0,0,"[A.Rodgers, R.Kerrigan]",361,0,0,0,0,0,GB,Q1 09:15,False,OPP 18,18
2013,2,1:00,9/15/2013,"(8:40) (No Huddle, Shotgun) A.Rodgers pass short right to J.Finley to WAS 10 for 14 yards (D.Hall).",3,0,0,True,,1,1,6,0,0,14,"[D.Hall, J.Finley, A.Rodgers]",380,1,1,0,8,14,GB,Q1 08:40,False,OPP 24,24
2013,2,1:00,9/15/2013,(6:06) (Shotgun) A.Rodgers sacked at GB 23 for -12 yards (B.Orakpo).,1,2,0,True,,0,0,0,0,0,0,"[B.Orakpo, A.Rodgers]",546,0,0,0,0,0,GB,Q1 06:06,False,OWN 35,10
2013,2,1:00,9/15/2013,(5:29) (Shotgun) A.Rodgers pass short left to J.Starks ran ob at GB 29 for 6 yards (B.Rambo).,2,2,0,True,,1,1,2,0,0,6,"[A.Rodgers, B.Rambo, J.Starks]",570,1,1,0,4,6,GB,Q1 05:29,False,OWN 23,22
2013,2,1:00,9/15/2013,(4:50) (Shotgun) A.Rodgers pass short middle to J.Jones to GB 38 for 14 yards (B.Meriweather; L.Fletcher).,3,2,0,True,,1,1,14,0,0,14,"[L.Fletcher, J.Jones, A.Rodgers, B.Meriweather]",617,1,1,0,0,14,GB,Q1 04:50,False,OWN 24,21
2013,2,1:00,9/15/2013,(3:08) A.Rodgers pass short left to J.Finley pushed ob at WAS 35 for 7 yards (P.Riley).,1,4,0,True,,1,1,1,0,0,7,"[P.Riley, J.Finley, A.Rodgers]",775,1,1,0,6,7,GB,Q1 03:08,False,OPP 42,10
2013,2,1:00,9/15/2013,(2:43) (Shotgun) A.Rodgers pass incomplete short right to A.Quarless.,2,4,0,True,,1,0,0,0,0,0,"[A.Quarless, A.Rodgers]",799,0,1,0,0,0,GB,Q1 02:43,False,OPP 35,3
2013,2,1:00,9/15/2013,(2:39) A.Rodgers pass incomplete short right to J.Starks.,3,4,0,True,,1,0,0,0,0,0,"[A.Rodgers, J.Starks]",821,0,1,0,0,0,GB,Q1 02:39,False,OPP 35,3
2013,2,1:00,9/15/2013,"(2:34) (No Huddle, Shotgun) A.Rodgers pass short middle to R.Cobb for 35 yards, TOUCHDOWN.",4,4,1,True,TD,1,1,8,1,1,35,"[A.Rodgers, R.Cobb]",843,1,1,1,27,35,GB,Q1 02:34,True,OPP 35,3
