season_type,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
REG,106.4,610,401,7,40,2,3,2,0,1,4428,67,195,42,4,1,1,369,44
POST,103.8,128,80,2,9,0,0,0,0,0,1005,8,40,0,0,0,0,62,9
