season_type,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
REG,93.3,572,347,8,31,5,6,4,0,4,3821,58,198,17,1,1,0,344,32
POST,93.5,36,21,0,2,1,1,1,0,1,210,1,-1,0,0,0,0,-1,2
