season_type,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
REG,104.0,475,312,11,28,0,0,0,0,0,3922,64,196,14,4,0,0,356,32
POST,114.9,132,90,2,9,0,0,0,0,0,1094,14,39,8,2,0,0,54,11
