season_type,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
REG,104.9,290,193,6,17,1,1,0,0,0,2536,30,75,0,0,0,0,120,17
POST,97.8,26,17,0,1,0,0,0,0,0,177,2,9,0,0,0,0,11,1
