week,game_time,date_stamp,nice_score,win,lose,winner,loser,team_home,team_away,season_type,home,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
1,4:25,9/8/2013,GB (28) at SF (34),False,True,SF,GB,SF,GB,REG,False,102.6,37,21,1,3,0,0,0,0,0,333,2,7,0,0,0,0,13,3
2,1:00,9/15/2013,WAS (20) at GB (38),True,False,GB,WAS,GB,WAS,REG,True,146.0,42,34,0,4,0,0,0,0,0,480,3,-1,0,0,0,0,-3,4
3,1:00,9/22/2013,GB (30) at CIN (34),False,True,CIN,GB,CIN,GB,REG,False,64.5,43,26,2,1,0,0,0,0,0,244,3,18,0,0,0,0,24,1
5,1:00,10/6/2013,DET (9) at GB (22),True,False,GB,DET,GB,DET,REG,True,106.8,30,20,0,1,0,0,0,0,0,274,5,6,0,0,0,0,8,1
6,1:00,10/13/2013,GB (19) at BAL (17),True,False,GB,BAL,BAL,GB,REG,False,84.8,32,17,1,1,0,0,0,0,0,315,5,12,0,0,0,0,21,1
7,4:25,10/20/2013,CLE (13) at GB (31),True,False,GB,CLE,GB,CLE,REG,True,117.8,36,25,0,3,0,0,0,0,0,260,4,5,0,0,0,0,12,3
8,8:30,10/27/2013,GB (44) at MIN (31),True,False,GB,MIN,MIN,GB,REG,False,130.6,29,24,0,2,0,0,0,0,0,285,6,14,0,0,0,0,31,2
9,8:40,11/4/2013,CHI (27) at GB (20),False,True,CHI,GB,GB,CHI,REG,True,95.8,2,1,0,0,0,0,0,0,0,27,1,9,0,0,0,0,9,0
17,4:25,12/29/2013,GB (33) at CHI (28),True,False,GB,CHI,CHI,GB,REG,False,85.2,39,25,2,2,1,1,0,0,0,318,1,5,0,0,0,0,5,2
1,4:40,1/5/2013,SF (23) at GB (20),False,True,SF,GB,GB,SF,POST,True,97.8,26,17,0,1,0,0,0,0,0,177,2,9,0,0,0,0,11,1
