season,week,game_time,date_stamp,nice_score,win,lose,winner,loser,team_home,team_away,season_type,home,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
2012,1,4:25,9/9/2012,SF (30) at GB (22),False,True,SF,GB,GB,SF,REG,True,93.3,44,30,1,2,1,1,1,0,1,303,5,9,0,0,0,0,27,2
2012,2,8:20,9/13/2012,CHI (10) at GB (23),True,False,GB,CHI,GB,CHI,REG,True,85.3,32,22,1,1,0,0,0,0,0,219,3,-2,0,0,0,0,-6,1
2012,3,8:30,9/24/2012,GB (12) at SEA (14),False,True,SEA,GB,SEA,GB,REG,False,81.5,39,26,0,0,1,1,0,0,0,223,2,16,0,0,0,0,17,0
2012,4,4:25,9/30/2012,NO (27) at GB (28),True,False,GB,NO,GB,NO,REG,True,119.9,41,31,1,4,0,0,0,0,0,319,5,10,0,0,0,0,13,4
2012,5,1:00,10/7/2012,GB (27) at IND (30),False,True,IND,GB,IND,GB,REG,False,103.5,33,21,1,3,1,1,0,0,0,243,5,19,0,0,0,0,57,3
2012,6,8:20,10/14/2012,GB (42) at HOU (24),True,False,GB,HOU,HOU,GB,REG,False,133.8,37,24,0,6,0,0,0,0,0,338,2,15,0,0,0,0,17,6
2012,7,1:00,10/21/2012,GB (30) at STL (20),True,False,GB,STL,STL,GB,REG,False,132.2,37,30,0,3,0,0,0,0,0,342,2,1,0,0,0,0,0,3
2012,8,1:00,10/28/2012,JAC (15) at GB (24),True,False,GB,JAC,GB,JAC,REG,True,95.7,35,22,0,2,0,0,0,0,0,186,3,4,0,0,0,0,4,2
2012,9,1:00,11/4/2012,ARI (17) at GB (31),True,False,GB,ARI,GB,ARI,REG,True,96.9,30,14,1,4,0,0,0,0,0,218,8,25,0,0,0,0,33,4
2012,11,1:00,11/18/2012,GB (24) at DET (20),True,False,GB,DET,DET,GB,REG,False,106.4,27,19,1,2,0,0,0,0,0,236,1,3,0,0,0,0,3,2
2012,12,8:20,11/25/2012,GB (10) at NYG (38),False,True,NYG,GB,NYG,GB,REG,False,81.9,25,14,1,1,0,0,0,0,0,219,3,11,0,0,0,0,22,1
2012,13,1:00,12/2/2012,MIN (14) at GB (23),True,False,GB,MIN,GB,MIN,REG,True,98.0,35,27,1,1,0,0,0,0,0,286,4,8,0,0,0,0,15,1
2012,14,8:20,12/9/2012,DET (20) at GB (27),True,False,GB,DET,GB,DET,REG,True,94.6,24,14,0,0,0,0,0,0,0,173,3,27,27,1,0,0,32,1
2012,15,1:00,12/16/2012,GB (21) at CHI (13),True,False,GB,CHI,CHI,GB,REG,False,116.8,36,23,0,3,0,0,0,0,0,291,4,6,0,0,0,0,14,3
2012,16,1:00,12/23/2012,TEN (7) at GB (55),True,False,GB,TEN,GB,TEN,REG,True,133.9,38,27,0,3,0,0,0,0,0,342,4,6,6,1,0,0,11,4
2012,17,4:25,12/30/2012,GB (34) at MIN (37),False,True,MIN,GB,MIN,GB,REG,False,131.8,40,28,0,4,0,0,0,0,0,365,0,0,0,0,0,0,0,4
2012,1,8:00,1/5/2012,MIN (10) at GB (24),True,False,GB,MIN,GB,MIN,POST,True,104.9,33,23,0,1,0,0,0,0,0,274,2,10,0,0,0,0,12,1
2012,2,8:00,1/12/2012,GB (31) at SF (45),False,True,SF,GB,SF,GB,POST,False,91.5,39,26,1,2,0,0,0,0,0,257,3,17,0,0,0,0,28,2
