season,week,game_time,date_stamp,nice_score,win,lose,winner,loser,team_home,team_away,season_type,home,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
2017,1,4:25,9/10/2017,SEA (9) at GB (17),True,False,GB,SEA,GB,SEA,REG,True,86.5,42,28,1,1,0,0,0,0,0,311,7,13,0,0,0,0,21,1
2017,2,8:30,9/17/2017,GB (23) at ATL (34),False,True,ATL,GB,ATL,GB,REG,False,90.7,50,33,1,2,1,1,0,0,0,343,2,9,0,0,0,0,8,2
2017,3,4:25,9/24/2017,CIN (24) at GB (27),True,False,GB,CIN,GB,CIN,REG,True,102.6,42,28,1,3,0,0,0,0,0,313,4,13,0,0,0,0,23,3
2017,4,8:25,9/28/2017,CHI (14) at GB (35),True,False,GB,CHI,GB,CHI,REG,True,128.0,26,18,0,4,0,0,0,0,0,179,1,-1,0,0,0,0,-1,4
2017,5,4:25,10/8/2017,GB (35) at DAL (31),True,False,GB,DAL,DAL,GB,REG,False,122.9,29,19,0,3,1,1,0,0,0,221,4,18,0,0,0,0,32,3
2017,6,1:00,10/15/2017,GB (10) at MIN (23),False,True,MIN,GB,MIN,GB,REG,False,62.5,4,2,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
