week,game_time,date_stamp,desc,down,drive,first_down,home,note,passing_att,passing_cmp,passing_cmp_air_yds,passing_first_down,passing_tds,passing_yds,players,playid,receiving_rec,receiving_tar,receiving_tds,receiving_yac_yds,receiving_yds,team,time,touchdown,yardline,yards_togo
1,8:30,9/8/2011,(14:55) (Shotgun) A.Rodgers pass short right to G.Jennings to GB 33 for 9 yards (T.Porter).,1,0,0,True,,1,1,6,0,0,9,"[G.Jennings, T.Porter, A.Rodgers]",58,1,1,0,3,9,GB,Q1 14:55,False,OWN 24,10
1,8:30,9/8/2011,(13:58) A.Rodgers pass short right to J.Nelson to GB 43 for 6 yards (J.Greer).,1,0,0,True,,1,1,4,0,0,6,"[J.Greer, A.Rodgers, J.Nelson]",103,1,1,0,2,6,GB,Q1 13:58,False,OWN 37,10
1,8:30,9/8/2011,(13:25) (Shotgun) A.Rodgers sacked at GB 35 for -8 yards (J.Casillas).,2,0,0,True,,0,0,0,0,0,0,"[A.Rodgers, J.Casillas]",127,0,0,0,0,0,GB,Q1 13:25,False,OWN 43,4
1,8:30,9/8/2011,(12:51) (Shotgun) A.Rodgers pass short right to D.Driver to NO 49 for 16 yards (M.Jenkins).,3,0,1,True,,1,1,15,1,0,16,"[A.Rodgers, D.Driver, M.Jenkins]",146,1,1,0,1,16,GB,Q1 12:51,False,OWN 35,12
1,8:30,9/8/2011,(12:17) (Shotgun) A.Rodgers pass deep left to J.Nelson to NO 13 for 36 yards (P.Robinson).,1,0,1,True,,1,1,34,1,0,36,"[P.Robinson, A.Rodgers, J.Nelson]",170,1,1,0,2,36,GB,Q1 12:17,False,OPP 49,10
1,8:30,9/8/2011,(11:29) (Shotgun) A.Rodgers scrambles up the middle to NO 12 for 1 yard (J.Casillas).,1,0,0,True,,0,0,0,0,0,0,"[A.Rodgers, J.Casillas]",194,0,0,0,0,0,GB,Q1 11:29,False,OPP 13,10
1,8:30,9/8/2011,"(10:12) (Shotgun) A.Rodgers pass short left to G.Jennings for 7 yards, TOUCHDOWN.",3,0,1,True,TD,1,1,7,1,1,7,"[G.Jennings, A.Rodgers]",236,1,1,1,0,7,GB,Q1 10:12,True,OPP 7,4
1,8:30,9/8/2011,(9:29) A.Rodgers pass short middle to R.Grant to NO 31 for 5 yards (S.Shanle; T.Porter) [S.Ellis].,1,2,0,True,,1,1,-4,0,0,5,"[R.Grant, S.Shanle, S.Ellis, A.Rodgers, T.Porter]",348,1,1,0,9,5,GB,Q1 09:29,False,OPP 36,10
1,8:30,9/8/2011,(8:05) A.Rodgers pass short middle to J.Finley to NO 6 for 15 yards (M.Jenkins).,1,2,1,True,,1,1,12,1,0,15,"[J.Finley, A.Rodgers, M.Jenkins]",397,1,1,0,3,15,GB,Q1 08:05,False,OPP 21,10
1,8:30,9/8/2011,(7:19) (Shotgun) A.Rodgers pass incomplete short right to J.Starks.,1,2,0,True,,1,0,0,0,0,0,"[A.Rodgers, J.Starks]",421,0,1,0,0,0,GB,Q1 07:19,False,OPP 6,6
1,8:30,9/8/2011,(7:12) (Shotgun) A.Rodgers pass short right to D.Driver to NO 3 for 8 yards (J.Greer).,2,2,0,True,,1,1,5,0,0,8,"[D.Driver, A.Rodgers, J.Greer]",466,1,1,0,3,8,GB,Q1 07:12,False,OPP 11,11
1,8:30,9/8/2011,"(6:29) (Shotgun) A.Rodgers pass short right to J.Nelson for 3 yards, TOUCHDOWN.",3,2,1,True,TD,1,1,3,1,1,3,"[A.Rodgers, J.Nelson]",507,1,1,1,0,3,GB,Q1 06:29,True,OPP 3,3
1,8:30,9/8/2011,(3:31) A.Rodgers right end to GB 22 for 2 yards (J.Greer).,1,4,0,True,,0,0,0,0,0,0,"[J.Greer, A.Rodgers]",760,0,0,0,0,0,GB,Q1 03:31,False,OWN 20,10
1,8:30,9/8/2011,(2:50) A.Rodgers pass deep right to J.Finley to GB 42 for 20 yards (R.Harper).,2,4,1,True,,1,1,16,1,0,20,"[J.Finley, A.Rodgers, R.Harper]",781,1,1,0,4,20,GB,Q1 02:50,False,OWN 22,8
1,8:30,9/8/2011,(2:03) A.Rodgers pass short left to R.Cobb to GB 40 for 3 yards (R.Harper).,1,4,0,True,,1,1,3,0,0,3,"[A.Rodgers, R.Cobb, R.Harper]",828,1,1,0,0,3,GB,Q1 02:03,False,OWN 37,15
1,8:30,9/8/2011,"(1:39) (No Huddle, Shotgun) A.Rodgers pass short middle to G.Jennings to 50 for 10 yards (P.Robinson).",2,4,0,True,,1,1,8,0,0,10,"[G.Jennings, P.Robinson, A.Rodgers]",852,1,1,0,2,10,GB,Q1 01:39,False,OWN 40,12
1,8:30,9/8/2011,"(1:02) (No Huddle, Shotgun) A.Rodgers pass short middle to J.Finley to NO 32 for 18 yards (R.Harper, M.Jenkins).",3,4,1,True,,1,1,10,1,0,18,"[J.Finley, A.Rodgers, R.Harper, M.Jenkins]",876,1,1,0,8,18,GB,Q1 01:02,False,MIDFIELD,2
1,8:30,9/8/2011,"(:19) (Shotgun) A.Rodgers pass short middle to R.Cobb for 32 yards, TOUCHDOWN.",1,4,1,True,TD,1,1,7,1,1,32,"[A.Rodgers, R.Cobb]",900,1,1,1,25,32,GB,Q1 00:19,True,OPP 32,10
1,8:30,9/8/2011,(9:44) (Shotgun) A.Rodgers pass incomplete deep middle to D.Driver (M.Jenkins) [Turk.McBride].,1,6,0,True,,1,0,0,0,0,0,"[D.Driver, A.Rodgers, Turk.McBride, M.Jenkins]",1359,0,1,0,0,0,GB,Q2 09:44,False,OWN 20,10
1,8:30,9/8/2011,(9:00) (Shotgun) A.Rodgers pass incomplete short right to J.Nelson (J.Greer).,3,6,0,True,,1,0,0,0,0,0,"[J.Greer, A.Rodgers, J.Nelson]",1402,0,1,0,0,0,GB,Q2 09:00,False,OWN 20,10
1,8:30,9/8/2011,(7:58) (Shotgun) A.Rodgers pass incomplete deep right to J.Nelson.,2,7,0,True,,1,0,0,0,0,0,"[A.Rodgers, J.Nelson]",1501,0,1,0,0,0,GB,Q2 07:58,False,OWN 23,7
1,8:30,9/8/2011,(7:52) (Shotgun) A.Rodgers pass short middle to G.Jennings to GB 36 for 13 yards (P.Robinson).,3,7,1,True,,1,1,13,1,0,13,"[G.Jennings, P.Robinson, A.Rodgers]",1523,1,1,0,0,13,GB,Q2 07:52,False,OWN 23,7
1,8:30,9/8/2011,(7:14) A.Rodgers pass short right to D.Driver to GB 44 for 8 yards (J.Charleston).,1,7,0,True,,1,1,-1,0,0,8,"[D.Driver, A.Rodgers, J.Charleston]",1547,1,1,0,9,8,GB,Q2 07:14,False,OWN 36,10
1,8:30,9/8/2011,(6:34) A.Rodgers pass incomplete deep right to J.Finley.,2,7,0,True,,1,0,0,0,0,0,"[J.Finley, A.Rodgers]",1571,0,1,0,0,0,GB,Q2 06:34,False,OWN 44,2
1,8:30,9/8/2011,(4:58) A.Rodgers up the middle to NO 42 for -1 yards (J.Galette).,1,7,0,True,,0,0,0,0,0,0,"[A.Rodgers, J.Galette]",1635,0,0,0,0,0,GB,Q2 04:58,False,OPP 41,10
1,8:30,9/8/2011,(4:33) A.Rodgers pass short left to G.Jennings to NO 28 for 14 yards (T.Porter; J.Galette).,2,7,1,True,,1,1,0,1,0,14,"[G.Jennings, T.Porter, A.Rodgers, J.Galette]",1656,1,1,0,14,14,GB,Q2 04:33,False,OPP 42,11
1,8:30,9/8/2011,(2:47) (Shotgun) A.Rodgers pass short right to T.Crabtree to NO 17 for 4 yards (S.Shanle).,3,7,1,True,,1,1,4,1,0,4,"[T.Crabtree, S.Shanle, A.Rodgers]",1762,1,1,0,0,4,GB,Q2 02:47,False,OPP 21,3
1,8:30,9/8/2011,(2:08) A.Rodgers pass incomplete short right to G.Jennings.,1,7,0,True,,1,0,0,0,0,0,"[G.Jennings, A.Rodgers]",1786,0,1,0,0,0,GB,Q2 02:08,False,OPP 17,10
1,8:30,9/8/2011,(:30) A.Rodgers kneels to GB 19 for -1 yards.,1,9,0,True,,0,0,0,0,0,0,[A.Rodgers],2103,0,0,0,0,0,GB,Q2 00:30,False,OWN 20,10
1,8:30,9/8/2011,(6:54) A.Rodgers pass short middle to J.Kuhn to GB 27 for 7 yards (S.Shanle).,1,13,0,True,,1,1,3,0,0,7,"[S.Shanle, J.Kuhn, A.Rodgers]",2662,1,1,0,4,7,GB,Q3 06:54,False,OWN 20,10
1,8:30,9/8/2011,(6:17) A.Rodgers pass incomplete deep right to D.Driver.,2,13,0,True,,1,0,0,0,0,0,"[D.Driver, A.Rodgers]",2686,0,1,0,0,0,GB,Q3 06:17,False,OWN 27,3
1,8:30,9/8/2011,(6:12) (Shotgun) A.Rodgers pass incomplete short right to D.Driver.,3,13,0,True,,1,0,0,0,0,0,"[A.Rodgers, D.Driver]",2708,0,1,0,0,0,GB,Q3 06:12,False,OWN 27,3
1,8:30,9/8/2011,"(2:26) A.Rodgers pass deep right to G.Jennings pushed ob at GB 33 for 22 yards (J.Greer). Penalty on NO-J.Greer, Defensive Pass Interference, declined.",2,15,1,True,,1,1,22,1,0,22,"[G.Jennings, A.Rodgers, J.Greer]",2940,1,1,0,0,22,GB,Q3 02:26,False,OWN 11,6
1,8:30,9/8/2011,(2:01) (Shotgun) A.Rodgers pass short left to G.Jennings to GB 47 for 14 yards (P.Robinson).,1,15,1,True,,1,1,12,1,0,14,"[G.Jennings, P.Robinson, A.Rodgers]",2976,1,1,0,2,14,GB,Q3 02:01,False,OWN 33,10
1,8:30,9/8/2011,(1:22) A.Rodgers pass short right to J.Nelson pushed ob at NO 44 for 9 yards (M.Jenkins).,1,15,0,True,,1,1,0,0,0,9,"[J.Nelson, A.Rodgers, M.Jenkins]",3000,1,1,0,9,9,GB,Q3 01:22,False,OWN 47,10
1,8:30,9/8/2011,(15:00) (Shotgun) A.Rodgers pass short left to J.Nelson pushed ob at NO 23 for 17 yards (P.Robinson).,2,15,1,True,,1,1,3,1,0,17,"[P.Robinson, A.Rodgers, J.Nelson]",3082,1,1,0,14,17,GB,Q4 15:00,False,OPP 40,8
1,8:30,9/8/2011,(14:31) (Shotgun) A.Rodgers pass short left to D.Driver to NO 14 for 9 yards (J.Vilma).,1,15,0,True,,1,1,9,0,0,9,"[D.Driver, A.Rodgers, J.Vilma]",3106,1,1,0,0,9,GB,Q4 14:31,False,OPP 23,10
1,8:30,9/8/2011,"(12:35) (Shotgun) A.Rodgers pass short right to J.Nelson to NO 1 for 6 yards (J.Greer, T.Porter).",2,15,0,True,,1,1,4,0,0,6,"[T.Porter, J.Greer, A.Rodgers, J.Nelson]",3200,1,1,0,2,6,GB,Q4 12:35,False,OPP 7,7
1,8:30,9/8/2011,(7:01) A.Rodgers sacked at GB 36 for -8 yards (sack split by R.Harper and J.Galette).,2,17,0,True,,0,0,0,0,0,0,"[A.Rodgers, J.Galette, R.Harper]",3504,0,0,0,0,0,GB,Q4 07:01,False,OWN 44,9
1,8:30,9/8/2011,(6:25) (Shotgun) A.Rodgers pass short right to J.Jones to GB 37 for 1 yard (J.Greer).,3,17,0,True,,1,1,-1,0,0,1,"[J.Greer, A.Rodgers, J.Jones]",3523,1,1,0,2,1,GB,Q4 06:25,False,OWN 36,17
1,8:30,9/8/2011,(2:00) A.Rodgers pass short right to J.Kuhn to NO 37 for no gain (J.Vilma).,3,19,0,True,,1,1,0,0,0,0,"[J.Kuhn, A.Rodgers, J.Vilma]",3952,1,1,0,0,0,GB,Q4 02:00,False,OPP 37,4
2,1:00,9/18/2011,(6:01) (Shotgun) A.Rodgers pass short right to R.Grant to GB 19 for -2 yards (C.Gamble).,2,3,0,False,,1,1,-4,0,0,-2,"[R.Grant, A.Rodgers, C.Gamble]",632,1,1,0,2,-2,GB,Q1 06:01,False,OWN 21,9
