week,game_time,date_stamp,desc,down,drive,first_down,home,note,passing_att,passing_cmp,passing_cmp_air_yds,passing_first_down,passing_tds,passing_yds,players,playid,receiving_rec,receiving_tar,receiving_tds,receiving_yac_yds,receiving_yds,team,time,touchdown,yardline,yards_togo
1,4:15,9/12/2010,(14:54) A.Rodgers pass incomplete deep middle to J.Finley.,1,0,0,False,,1,0,0,0,0,0,"[J.Finley, A.Rodgers]",58,0,1,0,0,0,GB,Q1 14:54,False,OWN 22,10
1,4:15,9/12/2010,(14:50) (Shotgun) A.Rodgers pass incomplete short left to G.Jennings.,2,0,0,False,,1,0,0,0,0,0,"[G.Jennings, A.Rodgers]",80,0,1,0,0,0,GB,Q1 14:50,False,OWN 22,10
1,4:15,9/12/2010,(14:47) (Shotgun) A.Rodgers pass incomplete short middle to G.Jennings.,3,0,0,False,,1,0,0,0,0,0,"[G.Jennings, A.Rodgers]",125,0,1,0,0,0,GB,Q1 14:47,False,OWN 27,5
1,4:15,9/12/2010,(12:24) (Shotgun) A.Rodgers pass short left to D.Driver to GB 38 for 7 yards (E.Hobbs).,1,2,1,False,,1,1,6,1,0,7,"[A.Rodgers, E.Hobbs, D.Driver]",320,1,1,0,1,7,GB,Q1 12:24,False,OWN 31,5
1,4:15,9/12/2010,(10:35) (Shotgun) A.Rodgers pass short left to J.Jones to 50 for 7 yards (J.Hanson).,3,2,1,False,,1,1,7,1,0,7,"[A.Rodgers, J.Hanson, J.Jones]",386,1,1,0,0,7,GB,Q1 10:35,False,OWN 43,5
1,4:15,9/12/2010,(9:55) A.Rodgers pass short left to D.Driver to PHI 46 for 4 yards (T.Cole).,1,2,0,False,,1,1,5,0,0,4,"[D.Driver, A.Rodgers, T.Cole]",410,1,1,0,-1,4,GB,Q1 09:55,False,MIDFIELD,10
1,4:15,9/12/2010,(9:11) (Shotgun) A.Rodgers sacked at GB 45 for -9 yards (J.Parker).,2,2,0,False,,0,0,0,0,0,0,"[A.Rodgers, J.Parker]",434,0,0,0,0,0,GB,Q1 09:11,False,OPP 46,6
1,4:15,9/12/2010,(8:33) (Shotgun) A.Rodgers pass deep middle intended for J.Finley INTERCEPTED by J.Hanson (Q.Mikell) at PHI 30. J.Hanson to PHI 47 for 17 yards (J.Finley).,3,2,0,False,INT,1,0,0,0,0,0,"[J.Finley, Q.Mikell, J.Hanson, A.Rodgers]",453,0,1,0,0,0,GB,Q1 08:33,False,OWN 45,15
1,4:15,9/12/2010,(3:37) A.Rodgers pass short left to G.Jennings pushed ob at GB 49 for 15 yards (E.Hobbs).,1,4,1,False,,1,1,11,1,0,15,"[G.Jennings, A.Rodgers, E.Hobbs]",755,1,1,0,4,15,GB,Q1 03:37,False,OWN 34,10
1,4:15,9/12/2010,(3:11) A.Rodgers pass short middle to J.Finley to PHI 37 for 14 yards (Q.Mikell).,1,4,1,False,,1,1,11,1,0,14,"[J.Finley, Q.Mikell, A.Rodgers]",779,1,1,0,3,14,GB,Q1 03:11,False,OWN 49,10
1,4:15,9/12/2010,(2:34) A.Rodgers pass short right to J.Finley to PHI 31 for 6 yards (N.Allen).,1,4,0,False,,1,1,2,0,0,6,"[J.Finley, A.Rodgers, N.Allen]",803,1,1,0,4,6,GB,Q1 02:34,False,OPP 37,10
1,4:15,9/12/2010,(1:09) (Shotgun) A.Rodgers scrambles left end ran ob at PHI 24 for 5 yards.,3,4,1,False,,0,0,0,0,0,0,[A.Rodgers],848,0,0,0,0,0,GB,Q1 01:09,False,OPP 29,2
1,4:15,9/12/2010,(:35) A.Rodgers sacked at PHI 29 for -5 yards (J.Parker).,1,4,0,False,,0,0,0,0,0,0,"[A.Rodgers, J.Parker]",886,0,0,0,0,0,GB,Q1 00:35,False,OPP 24,10
1,4:15,9/12/2010,(15:00) A.Rodgers sacked at PHI 36 for -7 yards (T.Cole).,2,4,0,False,,0,0,0,0,0,0,"[A.Rodgers, T.Cole]",921,0,0,0,0,0,GB,Q2 15:00,False,OPP 29,15
1,4:15,9/12/2010,(10:01) (Shotgun) A.Rodgers pass short right to J.Finley ran ob at GB 31 for 7 yards (A.Barnes).,2,6,0,False,,1,1,6,0,0,7,"[A.Barnes, J.Finley, A.Rodgers]",1231,1,1,0,1,7,GB,Q2 10:01,False,OWN 24,9
1,4:15,9/12/2010,(9:32) (Shotgun) A.Rodgers pass short right to B.Jackson to GB 30 for -1 yards (E.Sims).,3,6,0,False,,1,1,-3,0,0,-1,"[B.Jackson, A.Rodgers, E.Sims]",1255,1,1,0,2,-1,GB,Q2 09:32,False,OWN 31,2
