season,season_type,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
2011,REG,124.5,501,342,6,45,1,1,0,0,0,4637,60,129,19,3,0,0,257,48
2011,POST,78.5,46,26,1,2,0,0,0,0,0,264,7,16,0,0,0,0,66,2
