season,season_type,passer_rating,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,twopta,twoptm,twoptmissed,passing_twoptm,passing_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,tds
2014,REG,113.5,520,341,5,38,2,2,1,0,1,4381,43,153,15,2,0,0,269,40
2014,POST,91.1,69,43,2,4,1,1,0,0,0,494,5,12,0,0,0,0,8,4
